NAMESPACE     NAME      READY   STATUS    RESTARTS   AGE
a-maxmudov    nginx1    1/1     Running   0          6m14s
a-maxmudov    nginx2    1/1     Running   0          4m27s
a-taniqulov   nginx-1   1/1     Running   0          12m
a-taniqulov   nginx-2   1/1     Running   0          12m
d-tursunov    nginx1    1/1     Running   0          5m54s
d-tursunov    nginx2    1/1     Running   0          5m53s
d-xolmatov    nginx1    1/1     Running   0          5m23s
d-xolmatov    nginx2    1/1     Running   0          5m20s
m-fayziev     nginx1    1/1     Running   0          14m
m-fayziev     nginx2    1/1     Running   0          14m
r-giyosov     nginx1    1/1     Running   0          6m38s
r-giyosov     nginx2    1/1     Running   0          6m34s
x-baxromov    nginx1    1/1     Running   0          11m
x-baxromov    nginx2    1/1     Running   0          11m
x-namozov     nginx1    1/1     Running   0          3m21s
x-namozov     nginx2    1/1     Running   0          3m21s
z-vakhobov    nginx1    1/1     Running   0          11m
z-vakhobov    nginx2    1/1     Running   0          11m
